province;red;green;blue;x;x
912;166;182;147;algarindro;x
913;173;170;134;paradas;x
914;181;147;146;marchena;x
915;183;168;139;cazalla;x
916;166;147;129;competa;x
917;172;171;137;rosaria;x
918;183;148;114;algaidos;x
919;190;167;117;trabucco;x
920;192;147;116;costa_talar;x
921;169;186;144;gilena;x
922;173;154;137;herrera;x
923;181;161;127;rute;x
924;183;160;132;montefrio;x
925;193;167;119;romera;x
926;194;161;115;puente_gentil;x
927;167;153;108;montardilla;x
928;176;173;105;alcantarilla;x
929;182;172;112;alpira;x
930;188;179;104;elmaigmo;x
931;192;176;137;petrola;x
932;177;180;130;quesada;x
933;179;180;112;villa_joyosa;x
934;196;174;125;santa_pola;x
935;200;176;112;san_selin;x
936;160;162;112;santomera;x
937;169;155;103;callosa;x
938;174;184;107;laraja;x
939;139;158;124;camastra;x
940;143;170;108;liccata;x
941;147;156;100;sicillis;x
942;164;179;106;riberato;x
943;166;160;94;castania;x
944;135;169;94;forio;x
945;135;186;102;castella_di_stabia;x
946;137;178;109;pozzuoli;x
947;155;154;99;salerma;x
948;131;166;118;trapiani;x
949;131;173;114;ista;x
950;133;169;129;syra;x
951;136;158;105;mozza_del_vallo;x
952;153;177;92;callari;x
953;166;154;92;boparta;x
954;125;159;113;ventone;x
955;143;167;78;iblei;x
956;145;149;86;stromboli;x
957;145;171;110;capualla;x
958;145;185;92;vesucii;x
959;154;183;114;polino;x
960;128;178;98;ischia;x
961;151;155;99;vulsini;x
962;157;166;81;panarea_pontina;x
963;159;156;105;radicofani;x
964;133;163;103;vulcano_etna;x
965;143;146;80;terre_di_fuoco;x
966;144;147;117;vico_cimonio;x
967;146;165;89;sabanti;x
968;159;145;79;ustica;x
969;117;151;113;chiettina;x
970;127;131;113;niccia;x
971;142;138;108;alania_siorba;x
972;115;132;96;pellegrino;x
973;131;144;88;tuccana;x
974;138;155;99;martini;x
975;140;137;108;medavirra;x
976;124;167;109;parta;x
977;130;141;88;alania_sur;x
978;140;166;100;isla;x
979;115;138;94;la_orvienta;x
980;115;142;78;alania_natal;x
981;125;160;104;savarolesta;x
982;149;137;112;ona;x
983;150;167;89;alania_corona;x
984;152;173;112;urbanus;x
985;163;207;140;campa_vasta;x
986;164;198;139;civita;x
987;166;198;125;fogiatina;x
988;181;201;110;campa_vallenta;x
989;159;186;110;torono;x
990;174;191;127;piomba;x
991;174;193;106;epostella;x
992;175;204;130;terni;x
993;187;135;118;moduglamura;x
994;161;201;106;paduavena;x
995;178;188;139;campa_costiari;x
996;184;184;111;campa_silacci;x
997;184;196;127;vicii;x
998;133;129;162;hoogfryse;x
999;142;131;170;noorgrootland;x
1000;153;123;153;drackenrust;x
1001;139;127;159;middeland_aan_zee;x
1002;139;139;169;hinderlande;x
1003;140;132;162;zuiderhoek;x
1004;141;124;181;voortzee;x
1005;139;134;164;zuidhoekland;x
1006;142;138;166;hoogberge;x
1007;150;129;155;dorpengat;x
1008;155;138;151;keizerplat;x
1009;125;130;151;scheldplatz;x
1010;130;133;172;kroonburg;x
1011;145;135;171;eerste_hoogweg;x
1012;148;143;164;zachterzee;x
1013;114;140;146;scherkezuil;x
1014;115;139;152;eismeer;x
1015;121;131;181;zuidmeer;x
1016;127;148;185;schatmeer;x
1017;108;118;166;bergklooster;x
1018;126;113;155;kogelgat;x
1019;129;131;151;dommeburg;x
1020;131;150;182;stuur;x
1021;134;116;174;riddere;x
1022;112;140;170;doorne;x
1023;117;132;158;ine_hart;x
1024;135;120;171;grotklooster;x
1025;135;128;152;tempelmuur;x
1026;102;122;151;arendskerke;x
1027;127;132;164;bosseburgh;x
1028;118;133;162;heerepolder;x
1029;132;136;135;kinderswijk;x
1030;141;132;162;mieddelkerke;x
1031;142;124;143;vrouwepolder;x
1032;103;132;142;abeelskerke;x
1033;117;123;150;kortgene;x
1034;122;133;149;zierikzee;x
1035;130;121;163;eikenbos;x
1036;137;129;138;huilendom;x
1037;102;114;151;coli_jnsplaats;x
1038;105;121;133;berkenbos;x
1039;136;147;127;serooskerke;x
1040;125;135;160;goudgat;x
1041;130;162;165;platzaak;x
1042;121;130;188;vortzee;x
1043;121;150;157;gekkedom;x
1044;128;167;157;axenfoord;x
1045;146;137;167;kattenburg;x
1046;150;156;175;hondeburg;x
1047;122;129;165;midburg;x
1048;123;162;190;duizenzwaarde;x
1049;126;139;173;noordrije;x
1050;145;134;179;turaal;x
1051;150;163;190;bombeburg;x
1052;135;176;201;annaparochie;x
1053;138;144;210;goudvelde;x
1054;139;157;195;belfryse;x
1055;143;170;187;goedvelde;x
1056;145;153;202;vilesprong;x
1057;131;150;179;noarden;x
1058;134;165;205;drachten;x
1059;141;158;202;egbertswaarden;x
1060;145;166;200;zuidwaart;x
1061;133;145;172;kiezersdorp;x
1062;134;151;188;prinsendeur;x
1063;135;173;185;gorredijk;x
1064;158;142;198;wortelgeldt;x
1065;114;103;145;westerhal;x
1066;117;139;163;kachelwaard;x
1067;126;110;157;verleysteyn;x
1068;100;137;160;barlowe;x
1069;101;112;154;keelburg;x
1070;112;112;168;kotenburg;x
1071;120;111;145;ostenteyn;x
1072;126;114;148;omaraade;x
1073;129;132;156;maarde;x
1074;111;110;143;vissinghelm;x
1075;134;116;147;huidenhuide;x
1076;152;198;122;caldrinburg;x
1077;135;183;143;lintern;x
1078;148;171;143;joggeland;x
1079;163;185;136;poltern;x
1080;172;198;118;odenz;x
1081;138;173;126;skileburg;x
1082;146;196;117;hasa;x
1083;157;164;126;veile;x
1084;131;183;117;plauenmeer;x
1085;134;159;107;heilig_grab;x
1086;136;174;125;nienburg;x
1087;148;161;116;wremen;x
1088;154;180;118;essen;x
1089;126;164;107;parchstadt;x
1090;129;184;100;osterholz;x
1091;149;177;109;bluenberg;x
1092;125;186;99;hintenberg;x
1093;135;179;99;bispingen;x
1094;136;159;103;grossland;x
1095;148;171;97;luneberg;x
1096;125;163;123;szczecin;x
1097;139;157;101;grabice;x
1098;140;145;131;alexanderburg;x
1099;145;165;110;rzepin;x
1100;132;163;115;littorieen;x
1101;145;166;110;livorieen;x
1102;158;173;121;estorieen;x
1103;134;148;130;gottielberg;x
1104;142;172;133;luckow;x
1105;145;170;108;neuhandelberg;x
1106;149;174;118;luthol;x
1107;157;147;129;karlstadt;x
1108;158;168;127;kostryn;x
1109;163;149;106;bad_muskau;x
1110;131;136;134;ryznigrad;x
1111;149;157;122;saransk;x
1112;154;133;133;petrograd;x
1113;165;138;114;mosokovo;x
1114;129;131;110;muromorsk;x
1115;158;143;121;beloyarsk;x
1116;164;162;128;breznigrad;x
1117;136;141;112;novigrad;x
1118;142;158;117;vladacha;x
1119;145;125;144;archalskgrad;x
1120;147;139;138;pyoltograd;x
1121;163;159;110;novyabinsk;x
1122;136;131;144;novolgar;x
1123;147;157;135;sepulvosh;x
1124;164;131;121;voskresensk;x
1125;127;151;120;calemberg;x
1126;204;216;229;blacktide;x
1127;205;206;220;starfall;x
1128;205;209;215;frostmere;x
1129;207;207;237;ironwave;x
1130;208;212;223;moonreach;x
1131;208;231;208;darkwater;x
1132;211;221;209;silverdeep;x
1133;211;233;223;stormwake;x
1134;211;237;237;ironcurrent;x
1135;212;218;218;dreadsea;x
1136;214;214;214;sunken_blue;x
1137;214;215;238;nightmere;x
1138;214;216;216;brighttide;x
1139;214;217;217;shadowdeep;x
1140;214;218;218;embersea;x
1141;214;219;219;coldreach;x
1142;214;225;215;glasswater;x
1143;214;228;215;grimwave;x
1144;214;238;215;dawnsea;x
1145;215;216;223;redtide;x
1146;215;220;220;voidwater;x
1147;215;221;216;mistmere;x
1148;215;222;222;goldwake;x
1149;215;223;223;pale_deep;x
1150;215;225;225;thundersea;x
1151;215;226;226;starless;x
1152;215;227;227;highblue;x
1153;215;228;222;riftsea;x
1154;215;228;228;deepfall;x
1155;215;229;229;moonwater;x
1156;215;243;231;blackmere;x
1157;216;223;215;stormreach;x
1158;216;224;218;azure_deep;x
1159;216;228;217;ghostsea;x
1160;216;229;235;frostwake;x
1161;216;230;230;darkreach;x
1162;216;232;232;lightless;x
1163;216;233;233;skyfall_sea;x
1164;216;234;234;irondeep;x
1165;216;235;235;stillwater;x
1166;216;236;236;bluegrave;x
1167;216;237;237;shadowmere;x
1168;216;245;218;firewake;x
1169;217;233;217;coldblue;x
1170;217;237;237;nighttide;x
1171;217;238;238;brightmere;x
1172;218;224;239;dusksea;x
1173;218;229;238;starwake;x
1174;218;238;238;grimdeep;x
1175;218;239;239;stormblue;x
1176;219;218;237;deepmist;x
1177;219;228;235;voidtide;x
1178;219;229;221;ashwater;x
1179;219;233;221;moonwake;x
1180;219;239;239;blackreach;x
1181;219;240;221;silvertide;x
1182;220;213;224;pale_sea;x
1183;220;236;225;frostdeep;x
1184;220;240;240;darkblue;x
1185;221;222;210;sunfall;x
1186;221;241;241;mistdeep;x
1187;223;215;222;ironsea;x
1188;223;224;238;shadowtide;x
1189;223;242;242;coldtide;x
1190;224;215;214;brightsea;x
1191;224;221;230;riftwater;x
1192;224;233;219;nightdeep;x
1193;225;219;229;stormmere;x
1194;225;221;214;ghostdeep;x
1195;225;229;207;emberdeep;x
1196;225;230;221;tidegrave;x
1197;225;236;245;stilldeep;x
1198;225;243;243;starsea;x
1199;226;243;243;blackwater;x
1200;227;216;228;moonsea;x
1201;227;222;235;darktide;x
1202;227;243;236;silversea;x
1203;227;244;244;frostsea;x
1204;228;214;219;deepwake;x
1205;228;245;245;voidsea;x
1206;229;219;220;ashdeep;x
1207;229;226;218;brightwake;x
1208;229;230;215;nightsea;x
1209;229;235;235;coldmere;x
1210;229;245;245;stormdeep;x
1211;230;245;245;paleveil;x
1212;230;246;246;shadowsea;x
1213;231;216;237;ironwake;x
1214;231;238;229;mistsea;x
1215;232;213;233;dreadflow;x
1216;232;217;235;grimsea;x
1217;233;217;228;darkmere;x
1218;233;237;247;bluewake;x
1219;233;247;247;stardeep;x
1220;234;215;243;frosttide;x
1221;234;219;216;blackdeep;x
1222;234;221;225;moondeep;x
1223;234;223;219;stillsea;x
1224;234;226;232;highdeep;x
1225;234;231;231;darkfall;x
1226;234;235;219;ashmere;x
1227;234;247;247;starfoam;x
1228;235;219;230;coldwake;x
1229;235;247;247;nightwake;x
1230;237;225;218;blackfoam;x
1231;237;225;243;moonfall;x
1232;237;229;238;deepblue;x
1233;238;232;229;stormfall;x
1234;240;225;242;palefoam;x
1235;240;250;250;voiddeep;x
1236;242;218;241;ironfall;x
1237;242;234;235;brightdeep;x
1238;242;244;226;frostfall;x
1239;242;244;244;shadowfall;x
1240;242;251;251;mistfall;x
1241;243;238;225;emberwake;x
1242;243;251;243;golddeep;x
1243;244;226;228;stillwake;x
1244;244;243;237;skydeep;x
1245;246;226;232;nightfoam;x
1246;246;252;252;blackwake;x
1247;248;246;235;darkwake;x
1248;209;245;211;moonfoam;x
1249;240;199;245;blueveil;x
1250;227;184;232;ashfall;x
1251;232;226;184;stormveil;x
1252;185;235;184;colddeep;x
1253;180;197;233;coldrift;x
1254;180;188;233;ironveil;x
1255;200;209;249;palewake;x
1256;173;217;233;grimwake;x
1257;182;229;175;starwash;x
1258;199;164;223;darkfoam;x
1259;224;229;177;sunwake;x
1260;177;221;229;voidwake;x
1261;177;220;236;bluefall;x
1262;181;208;227;shadowwake;x
1263;199;230;235;nightveil;x
1264;194;226;213;deepveil;x
1265;173;220;206;blackveil;x
1266;200;249;217;moonveil;x
1267;233;233;180;stillfall;x
1268;244;216;208;stormfoam;x
1269;194;212;226;coldveil;x
1270;190;229;223;starveil;x
1271;167;221;194;ashveil;x
1272;199;239;228;ashsea;x
